id,phase,country,location,name,preservation,lat,long,sex,age
58,5,United Kingdom,"Clapham, Austwick Common",NA,bog skeleton,54.1163,-2.3698,female,adult
59,2,United Kingdom,"Aberavon, Dock",NA,bog skeleton (cranium/mandible),51.5863,-3.7916,unknown,adult
60,3,United Kingdom,"Oban, Dalrigh",NA,unknown,56.415,-5.4704,unknown,unknown
61,6,United Kingdom,"Burgar, Orkney",NA,bog mummy,59.1116,-3.1489,female,adult
62,6,United Kingdom,"Yarrow, Cowan's Croft",NA,bog mummy,55.4424,-3.1713,male,adult
63,3,United Kingdom,Whixall,NA,bog mummy,52.92193,-2.7543,male,adult
64,5,Netherlands,Yde,Yde Girl,bog mummy,53.0974,6.5853,female,child
65,5,Netherlands,Eerste Exloërmond,Exloërmond Man,bog mummy,52.9202,6.9024,male,adult
66,4,Netherlands,Emmen,Emmer-Erfscheidenveen Man,bog mummy,52.7977,6.9798,unknown,adult
67,4,Netherlands,Weerdinge,NA,bog skeleton,52.833,6.9196,male,adult
68,5,Netherlands,Zweeloo,Zweeloo Woman,bog mummy,52.8031,6.69736,female,adult
69,5,Netherlands,Ter Haarsterveen,NA,bog mummy,52.8959,7.045,male,adult
70,5,Netherlands,S.E. Drenthe/Erica,NA,bog mummy,52.7057,6.9428,male ,adult
71,5,Netherlands,"IJmuiden, Duinvliet ",NA,bog skeleton (cranium/mandible),52.4649,4.6198,unknown,adult
72,5,Germany,Barel,Bareler Moor Girl,bog mummy,53.001296,8.433104,female,child
73,5,Germany,Marx-Etzel,NA,bog skeleton,53.440507,7.866,unknown,adult
74,5,Germany,Marx-Stapelstein,NA,bog mummy,53.45498,7.8736,unknown,unknown
75,5,Germany,Obenaltendorf,Obenaltendorf Man,bog mummy,53.72876,9.268856,male,adult
76,5,Germany,Neu Versen,Roter Franz/Neu-Versen Man,bog mummy,52.717839,7.151413,male,adult
77,6,Germany,Kreepen,Kreepen Man/Brammer Man,bog mummy,52.97172,9.3462,male,adult
78,5,Germany,Tannenhausen,Bernuthsfeld Man/Bernie,bog mummy,53.531253,7.474823,male,adult
79,5,Germany,Kayhausen,Kayhausen Boy,bog mummy,53.16189,8.04253,male,child
80,5,Germany,Bockhorn,Jührdenerfeld Man/Bockhornerfeld Man,bog mummy,53.326208,8.002167,male,adult
81,6,Germany,Hunteburg,Hunteburg Foot,bog mummy (partial),52.435044,8.2125,unknown,adult
82,5,Germany,Hunteburg,Hunteburg III,bog skeleton (partial),52.4492,8.19529,male,adult
83,6,Germany,Burlage,Kind von Eserweger Dose/Junge von Burlage/Burli,bog skeleton,53.034167,7.663333,male,child
84,5,Germany,Neu-England,Neu-England Man,bog mummy,53.308134,7.88239,male,adult
85,5,Germany,Bentstreek,Bentstreek Foot,bog mummy (partial),53.3737,7.8558,unknown,unknown
86,6,Germany,Barnstorf,Johann Spieker/Jan Spieker,bog mummy,52.711415,8.379286,male,adult
87,5,Germany,Rendswühren,Rendswühren Man,bog mummy,54.065278,10.1675,male,adult
88,5,Germany,Bunsoh,Bunsoh,bog mummy,54.152906,9.341067,unknown,adult
89,5,Germany,Damendorf,Damendorf Man,bog mummy,54.4227,9.743114,male,adult
90,5,Germany,Röst,Röst Girl,bog mummy,54.1075,9.229444,female,child
91,5,Germany,Damendorf,Damendorf Girl,bog skeleton,54.422,9.7358,female,child
92,5,Germany,Osterby,Osterby Man,bog mummy (head),54.447461,9.769292,male,adult
93,5,Germany,Dätgen,Dätgen Man,bog mummy,54.162572,9.928529,male,adult
94,5,Germany,Stemmen,NA,bog mummy,53.240205,9.603853,male,adult
95,5,Germany,Uchte ,Moora ,bog mummy,52.50393,8.80926,female,adult
